hours,population
13.0,12692.307692307693
14.0,12256.410256410258
15.0,12102.564102564103
16.0,12076.923076923078
17.0,10974.358974358975
18.0,8307.692307692309
19.0,5820.512820512821
20.0,4230.769230769231
21.0,3179.4871794871797
22.0,2717.9487179487182
23.0,2410.25641025641
0.0,2256.4102564102564
1.0,2256.4102564102564
2.0,2179.4871794871797
3.0,2282.051282051282
4.0,2692.3076923076924
5.0,4051.2820512820513
6.0,5589.74358974359
7.0,7230.769230769231
8.0,9051.282051282053
9.0,11000.0
10.0,12000.0
11.0,11974.358974358975
12.0,11974.358974358975
