hours,population
13.0,7358.974358974359
14.0,7205.128205128205
15.0,7333.333333333334
16.0,7205.128205128205
17.0,6282.051282051282
18.0,4743.589743589744
19.0,3641.025641025641
20.0,3000.0
21.0,2564.1025641025644
22.0,2282.051282051282
23.0,2153.846153846154
0.0,2025.6410256410256
1.0,2051.2820512820513
2.0,2051.2820512820513
3.0,2076.923076923077
4.0,2282.051282051282
5.0,2512.820512820513
6.0,3025.641025641026
7.0,3820.512820512821
8.0,4769.2307692307695
9.0,5512.820512820513
10.0,5666.666666666667
11.0,5666.666666666667
12.0,5461.538461538462
