hours,population
13.0,14743.589743589744
14.0,14794.871794871795
15.0,14871.794871794873
16.0,14487.179487179488
17.0,13333.333333333334
18.0,11000.0
19.0,8410.25641025641
20.0,6282.051282051282
21.0,4717.948717948718
22.0,4051.2820512820513
23.0,3666.666666666667
0.0,3358.9743589743593
1.0,3153.846153846154
2.0,3000.0
3.0,2871.794871794872
4.0,2974.3589743589746
5.0,3461.538461538462
6.0,4589.74358974359
7.0,6846.153846153847
8.0,9794.871794871795
9.0,12282.051282051283
10.0,13846.153846153848
11.0,14820.512820512822
12.0,15410.25641025641
