hours,population
13.0,10722.222222222223
14.0,10694.444444444445
15.0,11305.555555555557
16.0,12194.444444444445
17.0,12277.777777777777
18.0,10722.222222222223
19.0,8472.222222222223
20.0,6611.111111111111
21.0,5555.555555555556
22.0,4750.0
23.0,4250.0
0.0,4222.222222222223
1.0,4166.666666666667
2.0,4194.444444444444
3.0,4305.555555555556
4.0,5111.111111111111
5.0,6888.888888888889
6.0,8111.111111111111
7.0,7555.555555555556
8.0,8416.666666666666
9.0,9722.222222222223
10.0,10333.333333333334
11.0,10472.222222222223
12.0,10472.222222222223
