hours,population
13.0,8361.111111111111
14.0,8277.777777777777
15.0,8694.444444444445
16.0,9416.666666666666
17.0,8861.111111111111
18.0,7611.111111111111
19.0,6305.555555555556
20.0,5277.777777777778
21.0,4611.111111111111
22.0,4277.777777777778
23.0,4138.888888888889
0.0,4000.0
1.0,3972.222222222222
2.0,4055.5555555555557
3.0,4138.888888888889
4.0,4388.888888888889
5.0,4666.666666666667
6.0,5194.444444444444
7.0,5944.444444444444
8.0,7027.777777777778
9.0,7777.777777777778
10.0,7916.666666666667
11.0,7750.0
12.0,7638.888888888889
