hours,population
13.0,13916.666666666668
14.0,14444.444444444445
15.0,15666.666666666668
16.0,17027.777777777777
17.0,16638.88888888889
18.0,15000.0
19.0,12527.777777777777
20.0,9972.222222222223
21.0,7916.666666666667
22.0,6777.777777777778
23.0,6027.777777777778
0.0,5527.777777777778
1.0,5277.777777777778
2.0,5166.666666666667
3.0,5305.555555555556
4.0,5611.111111111111
5.0,6277.777777777778
6.0,7444.444444444444
7.0,9583.333333333334
8.0,12305.555555555557
9.0,14416.666666666668
10.0,15638.888888888889
11.0,16333.333333333334
12.0,16611.111111111113
