hours,population
13.0,12666.666666666666
14.0,12355.555555555555
15.0,12888.888888888889
16.0,13866.666666666666
17.0,13066.666666666666
18.0,10533.333333333332
19.0,8000.0
20.0,6400.0
21.0,5466.666666666666
22.0,4977.777777777777
23.0,4755.555555555556
0.0,4533.333333333333
1.0,4711.111111111111
2.0,4755.555555555556
3.0,4844.444444444444
4.0,5288.888888888889
5.0,6266.666666666666
6.0,7111.111111111111
7.0,7822.222222222222
8.0,8933.333333333332
9.0,9955.555555555555
10.0,10133.333333333332
11.0,10000.0
12.0,9911.111111111111
