hours,population
13.0,22133.333333333332
14.0,22755.555555555555
15.0,24088.888888888887
16.0,24888.888888888887
17.0,22888.888888888887
18.0,19466.666666666664
19.0,15511.111111111111
20.0,11555.555555555555
21.0,8444.444444444443
22.0,6888.888888888889
23.0,5866.666666666666
0.0,5288.888888888889
1.0,5066.666666666666
2.0,5066.666666666666
3.0,5333.333333333333
4.0,5911.111111111111
5.0,7022.222222222222
6.0,8622.222222222223
7.0,11333.333333333332
8.0,15333.333333333332
9.0,19200.0
10.0,22222.222222222223
11.0,24400.0
12.0,25422.222222222223
