hours,population
13.0,10432.432432432433
14.0,10405.405405405405
15.0,11000.0
16.0,11864.864864864865
17.0,11945.945945945947
18.0,10432.432432432433
19.0,8243.243243243243
20.0,6432.4324324324325
21.0,5405.405405405406
22.0,4621.621621621622
23.0,4135.135135135135
0.0,4108.108108108108
1.0,4054.054054054054
2.0,4081.0810810810813
3.0,4189.189189189189
4.0,4972.972972972973
5.0,6702.702702702703
6.0,7891.891891891893
7.0,7351.351351351352
8.0,8189.189189189189
9.0,9459.45945945946
10.0,10054.054054054055
11.0,10189.18918918919
12.0,10189.18918918919
