hours,population
13.0,8135.135135135136
14.0,8054.054054054054
15.0,8459.45945945946
16.0,9162.162162162162
17.0,8648.648648648648
18.0,7432.4324324324325
19.0,6135.135135135135
20.0,5135.135135135135
21.0,4486.486486486487
22.0,4162.1621621621625
23.0,4027.027027027027
0.0,3891.891891891892
1.0,3864.864864864865
2.0,3945.9459459459463
3.0,4054.054054054054
4.0,4270.270270270271
5.0,4567.5675675675675
6.0,5054.054054054054
7.0,5810.810810810811
8.0,6864.864864864865
9.0,7567.5675675675675
10.0,7702.702702702703
11.0,7540.540540540541
12.0,7432.4324324324325
