hours,population
13.0,13540.540540540542
14.0,14054.054054054055
15.0,15243.243243243243
16.0,16567.567567567567
17.0,16189.18918918919
18.0,14594.594594594595
19.0,12189.18918918919
20.0,9702.702702702703
21.0,7702.702702702703
22.0,6594.594594594595
23.0,5864.864864864865
0.0,5378.378378378378
1.0,5135.135135135135
2.0,5027.0270270270275
3.0,5162.1621621621625
4.0,5459.45945945946
5.0,6108.108108108108
6.0,7243.243243243243
7.0,9324.324324324325
8.0,11972.972972972973
9.0,14027.027027027028
10.0,15216.216216216217
11.0,15891.891891891892
12.0,16162.162162162163
