hours,population
13.0,16172.41379310345
14.0,16034.482758620692
15.0,16241.37931034483
16.0,16206.89655172414
17.0,14827.586206896553
18.0,12068.96551724138
19.0,9206.89655172414
20.0,6827.5862068965525
21.0,5137.931034482759
22.0,4413.793103448276
23.0,4000.0000000000005
0.0,3827.586206896552
1.0,3896.5517241379316
2.0,3758.6206896551726
3.0,3827.586206896552
4.0,4275.862068965517
5.0,5827.5862068965525
6.0,8586.206896551725
7.0,11137.931034482759
8.0,12965.517241379312
9.0,14689.655172413795
10.0,15620.689655172415
11.0,15724.137931034484
12.0,15620.689655172415
