hours,population
13.0,11137.931034482759
14.0,11000.000000000002
15.0,10931.034482758621
16.0,10896.551724137931
17.0,9862.068965517243
18.0,7586.206896551725
19.0,5551.724137931035
20.0,4344.827586206897
21.0,3827.586206896552
22.0,3586.2068965517246
23.0,3448.275862068966
0.0,3413.7931034482763
1.0,3482.7586206896553
2.0,3551.724137931035
3.0,3517.241379310345
4.0,3689.6551724137935
5.0,4241.379310344828
6.0,4862.068965517242
7.0,5724.137931034484
8.0,7103.44827586207
9.0,8000.000000000001
10.0,8206.89655172414
11.0,8310.344827586208
12.0,8241.379310344828
