hours,population
13.0,20551.724137931036
14.0,20551.724137931036
15.0,20689.655172413793
16.0,20241.37931034483
17.0,18137.93103448276
18.0,15103.44827586207
19.0,11862.068965517243
20.0,8965.517241379312
21.0,6862.068965517242
22.0,6000.000000000001
23.0,5448.275862068966
0.0,5137.931034482759
1.0,5068.9655172413795
2.0,5000.000000000001
3.0,5103.44827586207
4.0,5379.310344827587
5.0,6172.413793103449
6.0,7724.137931034484
7.0,10172.41379310345
8.0,13310.344827586208
9.0,16379.310344827587
10.0,18586.206896551725
11.0,20068.96551724138
12.0,20758.620689655174
