hours,population
13.0,23818.18181818182
14.0,23636.363636363636
15.0,23272.727272727272
16.0,23333.333333333336
17.0,22727.272727272728
18.0,20242.424242424244
19.0,15939.39393939394
20.0,11757.575757575758
21.0,8666.666666666668
22.0,6424.242424242425
23.0,5636.363636363637
0.0,5696.969696969697
1.0,5696.969696969697
2.0,5696.969696969697
3.0,5696.969696969697
4.0,5636.363636363637
5.0,6909.090909090909
6.0,8969.69696969697
7.0,11878.78787878788
8.0,15393.939393939394
9.0,18484.848484848484
10.0,20909.09090909091
11.0,22121.212121212124
12.0,22363.636363636364
