hours,population
13.0,14969.69696969697
14.0,14848.48484848485
15.0,14727.272727272728
16.0,14484.848484848486
17.0,13818.181818181818
18.0,12060.606060606062
19.0,9696.969696969698
20.0,7757.575757575758
21.0,6181.818181818182
22.0,5212.121212121212
23.0,4848.484848484849
0.0,4909.090909090909
1.0,4969.69696969697
2.0,5090.909090909091
3.0,5030.303030303031
4.0,4848.484848484849
5.0,5212.121212121212
6.0,5878.787878787879
7.0,7090.909090909091
8.0,8666.666666666668
9.0,10000.0
10.0,10969.69696969697
11.0,11393.939393939394
12.0,11575.757575757576
