hours,population
13.0,37575.757575757576
14.0,38666.66666666667
15.0,40484.84848484849
16.0,42787.87878787879
17.0,43393.9393939394
18.0,41575.757575757576
19.0,36484.84848484849
20.0,28909.09090909091
21.0,20181.818181818184
22.0,16363.636363636364
23.0,14303.030303030304
0.0,13515.151515151516
1.0,12969.69696969697
2.0,12242.424242424244
3.0,10484.848484848486
4.0,9212.121212121212
5.0,9333.333333333334
6.0,11272.727272727274
7.0,15575.757575757576
8.0,21393.939393939396
9.0,28000.0
10.0,34181.818181818184
11.0,38848.48484848485
12.0,42000.0
