hours,population
13.0,14270.27027027027
14.0,13945.945945945947
15.0,13405.405405405407
16.0,12594.594594594595
17.0,10594.594594594595
18.0,8054.054054054054
19.0,5837.837837837838
20.0,4648.648648648649
21.0,4000.0
22.0,3675.675675675676
23.0,3513.5135135135138
0.0,3513.5135135135138
1.0,3459.4594594594596
2.0,3459.4594594594596
3.0,3513.5135135135138
4.0,3675.675675675676
5.0,3945.9459459459463
6.0,4756.756756756757
7.0,6594.594594594595
8.0,8648.648648648648
9.0,10000.0
10.0,10648.648648648648
11.0,10756.756756756757
12.0,10810.810810810812
