hours,population
13.0,29189.18918918919
14.0,28810.810810810814
15.0,27891.891891891893
16.0,26270.27027027027
17.0,23081.081081081084
18.0,18648.64864864865
19.0,14324.324324324325
20.0,10972.972972972973
21.0,8378.378378378378
22.0,8324.324324324325
23.0,7729.72972972973
0.0,6918.918918918919
1.0,6378.378378378378
2.0,5945.945945945946
3.0,5621.621621621622
4.0,5135.135135135135
5.0,5351.351351351352
6.0,7243.243243243243
7.0,11297.297297297298
8.0,16864.864864864867
9.0,22540.54054054054
10.0,26648.64864864865
11.0,29621.621621621623
12.0,31621.621621621623
