hours,population
13.0,24150.943396226416
14.0,23490.56603773585
15.0,24245.283018867925
16.0,25943.396226415094
17.0,24622.641509433965
18.0,17830.188679245282
19.0,9622.641509433963
20.0,2830.1886792452833
21.0,-1415.0943396226417
22.0,-3490.566037735849
23.0,-4433.962264150943
0.0,-4528.301886792453
1.0,-4528.301886792453
2.0,-4622.641509433963
3.0,-4339.622641509434
4.0,-3113.2075471698113
5.0,754.7169811320755
6.0,6415.094339622641
7.0,10000.0
8.0,13113.207547169812
9.0,17735.849056603773
10.0,20754.716981132075
11.0,22169.811320754718
12.0,21981.132075471698
