hours,population
13.0,7735.8490566037735
14.0,7358.490566037736
15.0,8301.886792452831
16.0,9811.32075471698
17.0,8113.207547169812
18.0,3018.867924528302
19.0,-1226.4150943396226
20.0,-3396.2264150943397
21.0,-4339.622641509434
22.0,-4811.320754716981
23.0,-5000.0
0.0,-4905.66037735849
1.0,-4905.66037735849
2.0,-4905.66037735849
3.0,-4905.66037735849
4.0,-4433.962264150943
5.0,-3301.8867924528304
6.0,-2075.471698113208
7.0,-566.0377358490566
8.0,1320.754716981132
9.0,2924.5283018867926
10.0,3679.245283018868
11.0,3584.905660377359
12.0,3584.905660377359
