hours,population
13.0,39905.660377358494
14.0,40471.698113207545
15.0,42075.47169811321
16.0,43867.92452830189
17.0,38018.867924528306
18.0,28396.22641509434
19.0,18962.264150943396
20.0,10943.396226415094
21.0,4528.301886792453
22.0,283.0188679245283
23.0,-1981.132075471698
0.0,-2641.509433962264
1.0,-2830.1886792452833
2.0,-2830.1886792452833
3.0,-2358.490566037736
4.0,-1320.754716981132
5.0,943.3962264150944
6.0,5283.018867924528
7.0,12547.169811320755
8.0,22169.811320754718
9.0,31792.45283018868
10.0,38679.24528301887
11.0,43396.22641509434
12.0,46603.77358490566
