hours,population
13.0,26129.032258064515
14.0,26000.0
15.0,27612.90322580645
16.0,29870.967741935485
17.0,29677.41935483871
18.0,24838.709677419356
19.0,17741.935483870966
20.0,11870.967741935483
21.0,8000.0
22.0,5677.419354838709
23.0,4709.677419354839
0.0,4516.129032258064
1.0,4645.1612903225805
2.0,4645.1612903225805
3.0,5032.258064516129
4.0,7161.290322580645
5.0,12322.58064516129
6.0,16129.032258064515
7.0,16193.548387096775
8.0,18000.0
9.0,21935.483870967742
10.0,24580.645161290322
11.0,25612.90322580645
12.0,25419.354838709678
