hours,population
13.0,13870.967741935483
14.0,14064.516129032258
15.0,15161.290322580646
16.0,16903.225806451614
17.0,15935.483870967742
18.0,12193.548387096775
19.0,8580.645161290322
20.0,6322.580645161291
21.0,4967.741935483871
22.0,4258.064516129032
23.0,4000.0
0.0,4129.032258064516
1.0,4129.032258064516
2.0,4129.032258064516
3.0,4387.096774193548
4.0,4903.225806451613
5.0,6000.0
6.0,7161.290322580645
7.0,8322.58064516129
8.0,9870.967741935483
9.0,11096.774193548386
10.0,11483.870967741936
11.0,11419.354838709678
12.0,11096.774193548386
