hours,population
13.0,32967.74193548387
14.0,34322.58064516129
15.0,36838.709677419356
16.0,39161.290322580644
17.0,36774.1935483871
18.0,31483.870967741936
19.0,24580.645161290322
20.0,17741.935483870966
21.0,12193.548387096775
22.0,8774.193548387097
23.0,6645.1612903225805
0.0,5806.451612903225
1.0,5548.387096774193
2.0,5548.387096774193
3.0,6000.0
4.0,6838.709677419355
5.0,8516.129032258064
6.0,11741.935483870968
7.0,16774.1935483871
8.0,23548.387096774193
9.0,30129.032258064515
10.0,34516.12903225806
11.0,37225.8064516129
12.0,38580.645161290326
